,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ITGA2,2040.946872,1.254899596,0.372794288,3.366198566,0.000762118,0.024962057
ADM,108.4596529,1.257805796,0.36783771,3.419458535,0.000627459,0.021965946
TFPI2,112.6548886,1.284629816,0.369104497,3.480396001,0.000500673,0.019244883
LOC124902471,78.50574,1.290596522,0.388723937,3.320085022,0.0008999,0.028184758
ASS1,6262.238453,1.292159615,0.13198736,9.790025462,1.24E-22,1.16E-18
OXSR1,786.5734239,1.29597305,0.169937773,7.626162362,2.42E-14,2.05E-11
SORBS2,99.69456487,1.296626265,0.368554996,3.51813509,0.000434591,0.017500286
DNAH5,124.8726618,1.297859445,0.33440641,3.881084226,0.000103992,0.005757928
CDKL5,290.235474,1.304095446,0.269976849,4.830397314,1.36E-06,0.00017363
PGBD5,485.624575,1.304117661,0.209143504,6.235515993,4.50E-10,1.66E-07
ZSCAN12P1,90.09640906,1.317386249,0.400133587,3.292366081,0.000993482,0.030299572
XAF1,103.7045974,1.329581007,0.363147475,3.661270145,0.000250968,0.011614448
TCIM,125.6936836,1.34660473,0.312912844,4.303449838,1.68E-05,0.001360186
NFE2L3,112.0158828,1.409486415,0.33862011,4.162441548,3.15E-05,0.002218828
BIRC3,595.8147826,1.466461072,0.195338025,7.507299581,6.04E-14,4.68E-11
LOC105378120,69.14475323,1.469940473,0.471752763,3.115912804,0.001833765,0.04512614
STK38L,643.8547709,1.504950713,0.205059565,7.339090546,2.15E-13,1.43E-10
PLAT,911.4912078,1.515239916,0.185088894,8.186552316,2.69E-16,3.57E-13
ANKRD13B,64.02060396,1.51853966,0.444545737,3.415935715,0.000635633,0.02214477
SH3BP5-AS1,64.50358257,1.577209546,0.433646425,3.637086475,0.000275739,0.012390955
CREB5,82.48419474,1.578224303,0.423559568,3.72609763,0.000194467,0.009470854
MMP7,110.409351,1.584902228,0.330468063,4.795931607,1.62E-06,0.000200825
GDF15,699.703663,1.620565808,0.237843466,6.813581362,9.52E-12,4.43E-09
PTGS2,1615.101254,1.643758709,0.391069504,4.2032393,2.63E-05,0.001973841
MAP3K8,237.6143569,1.648625391,0.241478485,6.827214395,8.66E-12,4.43E-09
IDO1,270.7377051,1.668010359,0.255747873,6.522088884,6.93E-11,2.93E-08
RND1,66.94360401,1.731352707,0.418797059,4.134109035,3.56E-05,0.002455275
SLC4A4,196.5406406,1.811345214,0.291624551,6.21122333,5.26E-10,1.81E-07
ADAMTS9,252.9204335,1.83538874,0.269240694,6.816906885,9.30E-12,4.43E-09
SAMD9L,663.7732431,1.863037022,0.193342317,9.635950625,5.64E-22,2.62E-18
RELN,74.74894915,1.905366186,0.42143268,4.521163817,6.15E-06,0.000623727
EFR3B,83.47481683,2.887604589,0.414576683,6.965188125,3.28E-12,1.91E-09
